category,band,artist,title,lyricist,composer,arranger
original,poppinparty,Poppin'Party,勇気Limit！,中村航,近藤世真（Elements Garden）,近藤世真（Elements Garden）
original,poppinparty,Poppin'Party,イントロダクション,Ayase,Ayase,Ayase/藤田淳平（Elements Garden）
original,poppinparty,Poppin'Party,ぽっぴん'どりーむ！,中村航,上松範康（Elements Garden）,藤田淳平（Elements Garden）
original,poppinparty,Poppin'Party,星の約束,中村航,笠井雄太（Elements Garden）,笠井雄太（Elements Garden）
original,poppinparty,Poppin'Party,大好き！,中村航,上松範康（Elements Garden）,岩橋星実（Elements Garden）
original,poppinparty,Poppin'Party,Moonlight Walk,中村航,日高勇輝（Elements Garden）,日高勇輝（Elements Garden）
original,poppinparty,Poppin'Party,Future Place,中村航,笠井雄太（Elements Garden）,笠井雄太（Elements Garden）
original,poppinparty,Poppin'Party,Five Letters,中村航,藤間仁（Elements Garden）,藤間仁（Elements Garden）
original,poppinparty,Poppin'Party,RiNG A BELL,中村航,近藤世真（Elements Garden）,近藤世真（Elements Garden）
original,poppinparty,Poppin'Party,新しい季節に,中村航,菊田大介（Elements Garden）,菊田大介（Elements Garden）
original,poppinparty,Poppin'Party,最強☆ソング,HoneyWorks,HoneyWorks,HoneyWorks
original,poppinparty,Poppin'Party,ほな！,中村航,藤田淳平（Elements Garden）,藤田淳平（Elements Garden）
original,poppinparty,Poppin'Party,青春 To Be Continued,中村航,上松範康（Elements Garden）,下田晃太郎（Elements Garden）
original,poppinparty,Poppin'Party,Chu Chueen!,中村航,日高勇輝（Elements Garden）,日高勇輝（Elements Garden）
original,poppinparty,Poppin'Party,トレモロアイズ,中村航,笠井雄太（Elements Garden）,笠井雄太（Elements Garden）
original,poppinparty,Poppin'Party,雨上がり、キミと,中村航,岩橋星実（Elements Garden）,岩橋星実（Elements Garden）
original,poppinparty,Poppin'Party,花咲く未来に,中村航,近藤世真（Elements Garden）,近藤世真（Elements Garden）
original,poppinparty,Poppin'Party,DOKI DOKI SCARY,中村航,都丸椋太(Elements Garden),都丸椋太(Elements Garden)
original,poppinparty,Poppin'Party,TARINAI,中村航,上松範康（Elements Garden）,藤永龍太郎（Elements Garden）
original,poppinparty,Poppin'Party,とっておきAnswer,中村航,藤田淳平（Elements Garden）,藤田淳平（Elements Garden）
original,poppinparty,Poppin'Party,Tomorrow’s Door,中村航,上松範康（Elements Garden）,藤永龍太郎（Elements Garden）
original,poppinparty,Poppin'Party,Drive Your Heart,中村航,藤永龍太郎（Elements Garden）,藤永龍太郎（Elements Garden）
original,poppinparty,Poppin'Party,世界中の青空をあつめて,中村航,日高勇輝（Elements Garden）,日高勇輝（Elements Garden）
original,afterglow,Afterglow,That Is How I Roll!,織田あすか（Elements Garden）,岩橋星実（Elements Garden）,岩橋星実（Elements Garden）
original,afterglow,Afterglow,Scarlet Sky,織田あすか（Elements Garden）,岩橋星実（Elements Garden）,岩橋星実（Elements Garden）
original,afterglow,Afterglow,True color,織田あすか（Elements Garden）,岩橋星実（Elements Garden）,岩橋星実（Elements Garden）
original,afterglow,Afterglow,Hey-day狂騒曲（カプリチオ）,織田あすか（Elements Garden）,藤田淳平（Elements Garden）,藤田淳平（Elements Garden）
original,afterglow,Afterglow,Y.O.L.O！！！！！,織田あすか（Elements Garden）,藤田淳平（Elements Garden）,都丸椋太（Elements Garden）
original,afterglow,Afterglow,Jamboree!Journey!,織田あすか（Elements Garden）,藤田淳平（Elements Garden）,藤田淳平（Elements Garden）
